aétat	[aetat]
chagoun	[ʃagun]
mchéol	[mʃeol]
pkéœt	[pkeøt]
pchèéf	[pʃɛef]
jméin	[ʒmein]
aabék	[aabek]
onnich	[ɔ̃niʃ]
Rouvuf	[ʁuvyf]
ouchnaf	[uʃnaf]
oTHmés	[oðmes]
THranb	[ðχɑ̃b]
jthonTH	[ʒθɔ̃ð]
znonp	[znɔ̃p]
èslit	[ɛslit]
lmiur	[lmiyχ]
unpœp	[ynpøp]
isméR	[ismeʁ]
thnéœs	[θneøs]
ékèés	[ekɛes]
urnad	[yχnad]
aémèr	[aemɛχ]
œRans	[øʁɑ̃s]
aRéér	[aʁeeχ]
onran	[ɔ̃χan]
jélouf	[ʒeluf]
osfit	[osfit]
mkanr	[mkɑ̃χ]
udbus	[ydbys]
préob	[pχeob]
mrèaf	[mχɛaf]
iRnèn	[iʁnɛn]
dmons	[dmɔ̃s]
œfnub	[øfnyb]
ogbav	[ogbav]
tidèr	[tidɛχ]
toupur	[tupyχ]
mtons	[mtɔ̃s]
inont	[ɛ̃ɔ̃t]
frong	[fχɔ̃g]
pagour	[paguχ]
dzonch	[dzɔ̃ʃ]
dRaas	[dʁaas]
lchèœk	[lʃɛøk]
èarèb	[ɛaχɛb]
vbiéf	[vbief]
urnon	[yχnon]
THéanf	[ðeɑ̃f]
gnéék	[gneek]
anRén	[ɑ̃ʁen]
THakœr	[ðakøχ]
thapél	[θapel]
Rdaim	[ʁdaim]
ontich	[ɔ̃tiʃ]
lzéar	[lzeaχ]
tchéok	[tʃeok]
thRiéTH	[θʁieð]
unlél	[ynlel]
chTHaéd	[ʃðaed]
Rthaèm	[ʁθaɛm]
bthaéd	[bθaed]
œbanm	[øbɑ̃m]
ontil	[ɔ̃til]
atrus	[atχys]
dèrèk	[dɛχɛk]
œnbub	[ønbyb]
agvad	[agvad]
mRéis	[mʁeis]
zœrœs	[zøχøs]
lobour	[lobuχ]
THégoup	[ðegup]
charib	[ʃaχib]
plinth	[plɛ̃θ]
kénit	[kenit]
zRant	[zʁɑ̃t]
tkéap	[tkeap]
THétin	[ðetin]
jviat	[ʒviat]
vousas	[vusas]
thviés	[θvies]
vœRér	[vøʁeχ]
iapœch	[iapøʃ]
aTHchèz	[aðʃɛz]
dmonr	[dmɔ̃χ]
Rnaèn	[ʁnaɛn]
èrsid	[ɛχsid]
ulnoug	[ylnug]
omdim	[omdim]
ipans	[ipɑ̃s]
œnthal	[ønθal]
ondat	[ɔ̃dat]
budob	[bydob]
sévés	[seves]
tféét	[tfeet]
vèRan	[vɛʁan]
ésiit	[esiit]
aérœk	[aeχøk]
uraan	[yχaan]
œpkœd	[øpkød]
davam	[davam]
uprér	[ypχeχ]
zèrèf	[zɛχɛf]
étrar	[etχaχ]
iètèk	[iɛtɛk]
ugnœb	[ygnøb]
thgaét	[θgaet]
èsnuv	[ɛsnyv]
mœRèR	[møʁɛʁ]
