ianlèRjèum	[ianlɛʁʒɛym]
chkuv	[ʃkyv]
rousulotkuR	[χusylotkyʁ]
Rèénfos	[ʁɛenfos]
dzok	[dzok]
niug	[niyg]
lRèolul	[lʁɛolyl]
b	[b]
tsaptuRun	[tsaptyʁyn]
boR	[boʁ]
ut	[yt]
zis	[zis]
aèjRuf	[aɛʒʁyf]
p	[p]
anvlaval	[ɑ̃vlaval]
jzènvaijvoRnèéRumovoval	[ʒzɛnvaiʒvoʁnɛeʁymovoval]
ouRépsaRzonus	[uʁepsaʁzonys]
rapan	[χapan]
tionun	[tionyn]
rtusnavmachasmélèsièR	[χtysnavmaʃasmelɛsiɛʁ]
vuchnèurin	[vyʃnɛyχin]
fponèéjlaklavosaèzin	[fponɛeʒlaklavosaɛzin]
ochanRèfugèchfus	[oʃanʁɛfygɛʃfys]
vdochtèkuntèRvaèrsovovavjoRviètmokasizènvonlèochnarnopnèdvutètéèchichraèvor	[vdoʃtɛkyntɛʁvaɛχsovovavʒoʁviɛtmokasizɛnvonlɛoʃnaχnopnɛdvytɛteɛʃiʃχaɛvoχ]
gjèusat	[gʒɛysat]
avlal	[avlal]
f	[f]
zèanènloj	[zɛanɛnloʒ]
ch	[ʃ]
v	[v]
dvaèRètfèRlan	[dvaɛʁɛtfɛʁlan]
èf	[ɛf]
utsiglènrèokian	[ytsiglɛnχɛokian]
ouvètubuncham	[uvɛtybynʃam]
dRolél	[dʁolel]
lkig	[lkig]
r	[χ]
bojRèaRutos	[boʒʁɛaʁytos]
pusal	[pysal]
z	[z]
oltiavèin	[oltiavɛin]
d	[d]
èundium	[ɛyndiym]
Rièmèab	[ʁiɛmɛab]
dvachlalton	[dvaʃlalton]
tlonéRlanèmotèlsép	[tloneʁlanɛmotɛlsep]
unial	[ynial]
ftéchlovèfaèsnonoch	[fteʃlovɛfaɛsnonoʃ]
èl	[ɛl]
zub	[zyb]
chnastaniR	[ʃnastaniʁ]
Rilnan	[ʁilnan]
én	[en]
gunumRèm	[gynymʁɛm]
uvèv	[yvɛv]
Rèrèilèvamèimézèrigun	[ʁɛχɛilɛvamɛimezɛχigyn]
gutouRlusépfèév	[gytuʁlysepfɛev]
anvochaiRiunRiRnabdètavnèinaRiunvolaéd	[anvoʃaiʁiynʁiʁnabdɛtavnɛinaʁiynvolaed]
filmadmèlkèsèfaèfachèiflais	[filmadmɛlkɛsɛfaɛfaʃɛiflais]
suviRvètalrodvotésèjoniflaRdumfaRoliol	[syviʁvɛtalχodvotesɛʒoniflaʁdymfaʁoliol]
krilèil	[kχilɛil]
nrounoulèrètanur	[nχunulɛχɛtanyχ]
paèvnién	[paɛvnien]
kèékiRadlantfamap	[kɛekiʁadlɑ̃tfamap]
vèagunèch	[vɛagynɛʃ]
usaanzvumjokotalRanèétfalkuRokosnaRèn	[ysaɑ̃zvymʒokotalʁanɛetfalkyʁokosnaʁɛn]
ochèr	[oʃɛχ]
èzèndaévèl	[ɛzɛndaevɛl]
chèouRèativRètiaRlatpoRéis	[ʃɛuʁɛativʁɛtiaʁlatpoʁeis]
éèvajèinarul	[eɛvaʒɛinaχyl]
iègnéRaès	[iɛgneʁaɛs]
unuRon	[ynyʁon]
s	[s]
fol	[fol]
zèokitèatann	[zɛokitɛatɑ̃n]
ptélgounrumojanalchovèpèbèchpaj	[ptelgunχymoʒanalʃovɛpɛbɛʃpaʒ]
zèlèk	[zɛlɛk]
zag	[zag]
zèolRièlèiRnaRèRaèp	[zɛolʁiɛlɛiʁnaʁɛʁaɛp]
chsavRènan	[ʃsavʁɛnan]
glurogèaton	[glyχogɛaton]
èt	[ɛt]
évamèijinséèn	[evamɛiʒinseɛn]
zvanèdloRialèsun	[zvanɛdloʁialɛsyn]
fumuléR	[fymyleʁ]
anndivuvènul	[ɑ̃ndivyvɛnyl]
ikèalvaèzRèktèl	[ikɛalvaɛzʁɛktɛl]
nRomèoful	[nʁomɛofyl]
èndaftaidiésiul	[ɛndaftaidiesiyl]
smoch	[smoʃ]
tpèmRoufèfèun	[tpɛmʁufɛfɛyn]
ouRad	[uʁad]
ktiochètpaftoukèvzajaésivaann	[ktioʃɛtpaftukɛvzaʒaesivaɑ̃n]
dlél	[dlel]
mamsiRol	[mamsiʁol]
oumsulrijnanès	[umsylχiʒnɑ̃ɛs]
lvèn	[lvɛn]
éèlèvnotourlavRuv	[eɛlɛvnotuχlavʁyv]
andés	[ɑ̃des]
vuR	[vyʁ]
m	[m]
noulmapav	[nulmapav]
fuvalnèslion	[fyvalnɛslion]
iak	[iak]
aégovèos	[aegovɛos]
èsozèv	[ɛsozɛv]
plunèznotpèniv	[plynɛznotpɛniv]
jnioch	[ʒnioʃ]
oubomèstèuvon	[ubomɛstɛyvon]
n	[n]
RéogèdènèlRonlélinbaém	[ʁeogɛdɛnɛlʁonlelinbaem]
t	[t]
aèksum	[aɛksym]
gab	[gab]
skagiètin	[skagiɛtin]
knofsèsèviposlétèopnodotimRius	[knofsɛsɛviposletɛopnodotimʁiys]
tos	[tos]
fnèlom	[fnɛlom]
kèr	[kɛχ]
fojin	[foʒin]
pnivoklikianvasub	[pnivoklikianvasyb]
jochsupiusèov	[ʒoʃsypiysɛov]
dlugom	[dlygom]
raènRunèosoujgèchlèif	[χaɛnʁynɛosuʒgɛʃlɛif]
uRnaètlèzdotméènèuvdèochnaèramjuvalèagèsunukènvèlak	[yʁnaɛtlɛzdotmeɛnɛyvdɛoʃnaɛχamʒyvalɛagɛsynykɛnvɛlak]
jmèzodudul	[ʒmɛzodydyl]
aém	[aem]
tofofichizarutéasanéf	[tofofiʃizaχyteasɑ̃ef]
chkiot	[ʃkiot]
jiuRik	[ʒiyʁik]
lolupnèojièl	[lolypnɛoʒiɛl]
arétiolésovgapchobiékolosnèg	[aχetiolesovgapʃobiekolosnɛg]
nonRèlnufasnaènètlolèn	[nonʁɛlnyfasnaɛnɛtlolɛn]
kiptèmféatlazat	[kiptɛmfeatlazat]
èdzoulonéirlaèniuf	[ɛdzuloneiχlaɛniyf]
van	[van]
