ruRap	[χyʁap]
énsul	[ensyl]
zèréch	[zɛχeʃ]
jimuj	[ʒimyʒ]
sèmoR	[sɛmoʁ]
lnéot	[lneot]
gunèf	[gynɛf]
bvièl	[bviɛl]
ovnok	[ovnok]
éadan	[eadan]
lomél	[lomel]
chirach	[ʃiχaʃ]
antul	[ɑ̃tyl]
gzièn	[gziɛn]
jlias	[ʒlias]
ilvoun	[ilvun]
vléèf	[vleɛf]
vnèal	[vnɛal]
uzRog	[yzʁog]
glaèR	[glaɛʁ]
lukif	[lykif]
iflot	[iflot]
zolèR	[zolɛʁ]
chsaèr	[ʃsaɛχ]
uvnut	[yvnyt]
ovluk	[ovlyk]
tosun	[tosyn]
ènlon	[ɛnlon]
ungès	[yngɛs]
mèvil	[mɛvil]
iavouR	[iavuʁ]
ougnun	[ugnyn]
azèog	[azɛog]
futiv	[fytiv]
mèzol	[mɛzol]
gjèus	[gʒɛys]
ulRon	[ylʁon]
plèov	[plɛov]
rogas	[χogas]
èndèv	[ɛndɛv]
snang	[snɑ̃g]
dlain	[dlain]
avnav	[avnav]
ionuz	[ionyz]
anmèl	[ɑ̃mɛl]
flanr	[flɑ̃χ]
RuRouv	[ʁyʁuv]
Rlail	[ʁlail]
nkèav	[nkɛav]
pèchèm	[pɛʃɛm]
aèzés	[aɛzes]
ingun	[ingyn]
onRèl	[onʁɛl]
ofsoun	[ofsun]
lvéik	[lveik]
aRéès	[aʁeɛs]
ièjèl	[iɛʒɛl]
zosan	[zosan]
botoup	[botup]
knann	[knɑ̃n]
pkéol	[pkeol]
ftiun	[ftiyn]
ndaèr	[ndaɛχ]
éousos	[eusos]
ézdoR	[ezdoʁ]
oulèiR	[ulɛiʁ]
slais	[slais]
anvuv	[ɑ̃vyv]
bozor	[bozoχ]
trant	[tχɑ̃t]
indév	[indev]
éènèp	[eɛnɛp]
chmèil	[ʃmɛil]
mutèl	[mytɛl]
zèban	[zɛban]
zovéz	[zovez]
bvéav	[bveav]
soson	[soson]
èRvol	[ɛʁvol]
bvéuv	[bveyv]
ainon	[ainon]
kaRor	[kaʁoχ]
bRiur	[bʁiyχ]
annèd	[ɑ̃nɛd]
nosuR	[nosyʁ]
sovos	[sovos]
albém	[albem]
anvèm	[ɑ̃vɛm]
sérèl	[seχɛl]
oujiof	[uʒiof]
talul	[talyl]
vouloR	[vuloʁ]
dozon	[dozon]
azgèR	[azgɛʁ]
oufèas	[ufɛas]
agnat	[agnat]
jmium	[ʒmiym]
atsib	[atsib]
éupèl	[eypɛl]
aitov	[aitov]
opfoud	[opfud]
mpèul	[mpɛyl]
ètèov	[ɛtɛov]
éRlal	[eʁlal]
gzièt	[gziɛt]
kraés	[kχaes]
ignuk	[ignyk]
kèsov	[kɛsov]
chmaèn	[ʃmaɛn]
ouRvod	[uʁvod]
Ranich	[ʁaniʃ]
oksèr	[oksɛχ]
loRuf	[loʁyf]
mtèiv	[mtɛiv]
nofik	[nofik]
ranal	[χɑ̃al]
gisos	[gisos]
Rovun	[ʁovyn]
èRèoud	[ɛʁɛud]
klaèm	[klaɛm]
chadèk	[ʃadɛk]
mgain	[mgain]
ènfél	[ɛnfel]
bvial	[bvial]
atéèl	[ateɛl]
umlam	[ymlam]
émios	[emios]
èRvoz	[ɛʁvoz]
èsnèl	[ɛsnɛl]
tichén	[tiʃen]
slèél	[slɛel]
éntis	[entis]
lRèél	[lʁɛel]
znèés	[znɛes]
ouchaich	[uʃaiʃ]
ziril	[ziχil]
fchèis	[fʃɛis]
fanud	[fanyd]
mipos	[mipos]
kèfèt	[kɛfɛt]
astéR	[asteʁ]
pufèr	[pyfɛχ]
oulnès	[ulnɛs]
ilsèv	[ilsɛv]
èatèR	[ɛatɛʁ]
èsann	[ɛsɑ̃n]
oubnèn	[ubnɛn]
zitol	[zitol]
zofan	[zofan]
gavèR	[gavɛʁ]
fosut	[fosyt]
triét	[tχiet]
pèfis	[pɛfis]
mrèoch	[mχɛoʃ]
chidèt	[ʃidɛt]
chatin	[ʃatin]
unèab	[ynɛab]
sèvuk	[sɛvyk]
jèlal	[ʒɛlal]
flain	[flain]
tuRun	[tyʁyn]
dèchan	[dɛʃan]
opnus	[opnys]
éikul	[eikyl]
inièl	[iniɛl]
ioson	[ioson]
éoséch	[eoseʃ]
ouvlès	[uvlɛs]
déRèn	[deʁɛn]
éosèR	[eosɛʁ]
piRèl	[piʁɛl]
oujRol	[uʒʁol]
jènan	[ʒɛnan]
régun	[χegyn]
rpiur	[χpiyχ]
onRot	[onʁot]
ogaèl	[ogaɛl]
dison	[dison]
mlait	[mlait]
aébuk	[aebyk]
ièvèR	[iɛvɛʁ]
navos	[navos]
pèRod	[pɛʁod]
jnèis	[ʒnɛis]
èaRév	[ɛaʁev]
éalav	[ealav]
